Ruang,Sesi,NIM,M,P1,P2
Ruang 1 (R.7.13),1,1641720116,M_RID,M_DWW,M_HED
Ruang 2 (R.7.15),,1641720164,V_RAA,V_MQ,V_MMH
Ruang 3 (R.7.17),,1641720205,I_ZUL,I_ELA,I_ANP
Ruang 4 (R.7.19),,1641720063,I_HJT,I_ERF,I_SNA
Ruang 5 (R.7.14),,1541180218,I_HP,I_OKE,I_RDM
Ruang 6 (R.7.16),,1941727018,C_PPA,C_GBP,C_MZA
Ruang 7 (R.7.18),,1641720095,I_RDA,C_IDW,I_RIZ
Ruang 8 (R.7.20),,1741723003,C_IFR,C_TOM,C_HAR
Ruang 1 (R.7.13),2,1941727006,I_RID,I_DWW,I_ENH
Ruang 2 (R.7.15),,1641720061,V_MQ,V_PPA,V_KSB
Ruang 3 (R.7.17),,1641720066,C_ELA,C_PYS,C_VIS
Ruang 4 (R.7.19),,1641720009,I_KPA,I_ERF,I_YP
Ruang 5 (R.7.14),,1641720202,I_UDR,I_IDW,I_VAL
Ruang 6 (R.7.16),,1641720147,I_HP,I_OKE,I_ODT
Ruang 7 (R.7.18),,1641720072,C_ZUL,C_RDA,C_ATF
Ruang 8 (R.7.20),,1641720103,C_IFR,C_HJT,C_IKP
Ruang 1 (R.7.13),3,1641720199,V_RID,V_ARW,V_MIS
Ruang 2 (R.7.15),,1641720124,M_UN,M_MQ,M_MEA
Ruang 3 (R.7.17),,1941727020,I_YA,I_ELA,I_DSE
Ruang 4 (R.7.19),,1641720186,I_KPA,I_ERF,I_ANP
Ruang 5 (R.7.14),,1941727011,C_ARP,C_DWI,C_ARS
Ruang 6 (R.7.16),,1941727015,C_RDA,C_GBP,C_MAH
Ruang 7 (R.7.18),,1641720086,V_ZUL,V_CR,V_DOD
Ruang 8 (R.7.20),,1641720082,M_HP,M_DWW,M_IAM
Ruang 1 (R.7.13),4,1941727008,C_ZUL,V_RID,C_APK
Ruang 2 (R.7.15),,1641720033,V_DS,V_PPA,V_NOP
Ruang 3 (R.7.17),,1641720081,I_ARP,I_PYS,I_MSK
Ruang 4 (R.7.19),,1641720084,I_YA,I_IDW,I_YP
Ruang 5 (R.7.14),,1641720128,C_HJT,C_DWI,C_BGS
Ruang 6 (R.7.16),,1641720062,C_RDA,C_IFR,C_RKA
Ruang 7 (R.7.18),,1641720207,M_UN,M_HP,M_IAM
Ruang 8 (R.7.20),,,,,
Ruang 1 (R.7.13),5,1941727007,I_ZUL,I_IDW,I_ANP
Ruang 2 (R.7.15),,1741723013,I_DS,I_TOM,I_RKA
Ruang 3 (R.7.17),,1741723008,V_CR,V_PPA,V_MM
Ruang 4 (R.7.19),,1641720200,I_OKE,I_RDA,I_ENH
Ruang 5 (R.7.14),,1641720204,V_DWI,V_UDR,V_SES
Ruang 6 (R.7.16),,1941727016,C_UN,C_IFR,C_VNW
Ruang 7 (R.7.18),,1941727017,C_HP,C_PYS,C_DRY
Ruang 8 (R.7.20),,1641720172,I_ARP,I_HJT,I_MUP
Ruang 1 (R.7.13),6,1641720010,V_ZUL,V_ARW,V_KSB
Ruang 2 (R.7.15),,,,,
Ruang 3 (R.7.17),,1641720160,I_HJT,I_KPA,I_RIZ
Ruang 4 (R.7.19),,1641720137,I_ARP,I_RDA,I_ODT
Ruang 5 (R.7.14),,1941727022,I_HP,I_UDR,I_MSK
Ruang 6 (R.7.16),,1741723002,V_UN,C_RAA,V_MZA
Ruang 7 (R.7.18),,1641720173,C_IDW,C_TOM,C_MMH
Ruang 8 (R.7.20),,,,,
Ruang 1 (R.7.13),7,1641720057,M_ZUL,M_HP,M_ANR
Ruang 2 (R.7.15),,,,,
Ruang 3 (R.7.17),,1641720156,I_HJT,I_KPA,I_RDM
Ruang 4 (R.7.19),,1641720136,I_HP,I_ARP,I_MUP
Ruang 5 (R.7.14),,1641720068,V_OKE,V_UDR,V_ARS
Ruang 6 (R.7.16),,,,,
Ruang 7 (R.7.18),,,,,
Ruang 8 (R.7.20),,,,,
