Ruang,NIM,Sesi,Pembimbing,Penguji 1,Penguji 2 (Proporsional)
1,1641720163,1,I_HJT,I_KPA,I_MAH
1,1641720130,2,I_HJT,I_KPA,I_RDM
1,1641720158,3,I_KPA,I_HJT,I_RDM
1,1641720140,4,I_KPA,I_HJT,I_RIZ
1,1641720150,5,I_KPA,I_HJT,I_RIZ
1,1641720108,6,I_RWS,I_ZUL,I_VAL
1,1941727021,7,I_RWS,I_ZUL,I_VAL
1,1941727014,8,I_RWS,I_ZUL,I_VAL
2,1641720171,1,I_ELA,I_IDW,I_SNA
2,1641720004,2,I_ELA,I_IDW,I_SNA
2,1641720139,3,I_ELA,I_IDW,I_APK
2,1641720064,4,I_IDW,I_ELA,I_APK
2,1641720208,5,I_IDW,I_UN,I_APK
2,1641720043,6,I_IDW,I_UN,I_ANR
2,1641720141,7,I_UN,I_ELA,I_ANR
2,1641720135,8,I_UN,I_ELA,I_ANR
3,1641720003,1,I_OKE,I_RDA,I_ANR
3,1641720111,2,I_OKE,I_RDA,I_DSE
3,1641720119,3,I_OKE,I_RDA,I_DSE
3,1641720069,4,I_RDA,I_OKE,I_DSE
3,1741723010,5,I_RDA,I_ERF,I_ATF
3,1941727019,6,I_RDA,I_ERF,I_ATF
3,1541180052,7,I_ERF,I_OKE,I_ATF
3,1741723014,8,I_ERF,I_OKE,I_RIZ
4,1641720098,1,I_RID,I_DWI,I_RKA
4,1641720030,2,I_RID,I_DWI,I_RKA
4,1641720179,3,I_RID,I_DWI,I_RKA
4,1641720001,4,I_DWI,I_RID,I_ENH
4,1641720153,5,I_DWI,I_RID,I_ENH
4,1641720055,6,I_GBP,I_RID,I_HED
4,1641720210,7,I_GBP,I_RID,I_HED
5,1641720052,1,V_MQ,V_RAA,V_DOD
5,1641720006,2,V_UDR,V_RAA,V_DOD
5,1641720148,3,V_RAA,V_MQ,V_DOD
5,1641720209,4,V_RAA,V_UDR,V_DOD
5,1641720038,5,V_CR,V_RAA,V_SES
5,1741723011,6,V_CR,V_RAA,V_MMH
5,1641720080,7,V_PPA,V_CR,V_MMH
5,1641720007,8,V_PPA,V_CR,V_MMH
6,1941727012,1,I_TOM,V_ARW,I_YP
6,141723017,2,I_ARW,V_MQ,I_YP
6,1641720012,3,V_ARW,I_TOM,V_VAH
6,1641720190,4,V_MQ,I_ARW,V_VAH
6,1941727009,5,V_MQ,V_UDR,V_KSB
6,1641720094,6,V_MQ,V_UDR,V_KSB
6,1641720032,7,V_UDR,V_MQ,V_KSB
6,1641720181,8,V_UDR,V_MQ,V_KSB
7,1641720138,1,J_YA,J_ARP,J_ADE
7,1641720142,2,J_YA,J_ARP,J_ADE
7,1641720008,3,J_LA,J_YA,J_MEA
7,1641720161,4,J_LA,J_YA,J_MEA
7,1641720090,5,J_LA,J_YA,J_VAH
7,1641720016,6,J_YA,J_LA,J_ROW
7,1641720201,7,J_YA,J_LA,J_ADE
7,1641720076,8,J_YA,J_LA,J_SNA
8,1641720039,1,M_DWW,M_HP,M_MEA
8,1641720178,2,M_HP,M_DWW,M_SES
8,1941727001,3,I_DWW,I_PYS,I_YY
8,1641720110,4,I_DWW,I_PYS,I_YY
8,1941727010,5,I_PYS,I_DWW,I_YY
8,1641720047,6,I_PYS,I_DWW,I_YY
1,1641720168,1,I_KPA,I_HJT,I_MAH
1,1641720194,2,I_KPA,I_HJT,I_MAH
1,1641720185,3,I_KPA,I_HJT,I_RDM
1,1641720115,4,I_HJT,I_KPA,I_RIZ
1,1641720162,5,I_HJT,I_KPA,I_RIZ
1,1641720078,6,I_RWS,I_ZUL,I_RKA
1,1641720101,7,I_RWS,I_ZUL,I_VAL
1,1641720060,8,I_RWS,I_ZUL,I_VAL
2,1641720025,1,I_ELA,I_IDW,I_MSK
2,1641720085,2,I_ELA,I_IDW,I_MSK
2,1641720129,3,I_ELA,I_IDW,I_MSK
2,1641720024,4,I_IDW,I_ELA,I_MUP
2,1641720096,5,I_IDW,I_ELA,I_MUP
2,1641720071,6,I_IDW,I_ELA,I_MUP
2,1741723009,7,I_ERF,I_ERF,I_SNA
2,1641720104,8,I_RDA,I_ERF,I_SNA
3,1641720091,1,C_OKE,C_RDA,C_MM
3,1641720042,2,C_OKE,C_TOM,C_MM
3,1541180229,3,I_ERF,I_UN,I_ODT
3,1641720143,4,I_UN,I_ERF,I_ODT
3,1641720114,5,C_PPA,C_OKE,C_BGS
3,1641720165,6,C_RDA,C_OKE,C_BGS
3,1641720041,7,C_RDA,C_OKE,C_BGS
3,1641720020,8,C_TOM,C_RDA,C_BGS
4,xxxxxxxxx1_RID,1,I_RID,I_DWI,I_ANP
4,xxxxxxxxx2_RID,2,I_RID,I_DWI,I_ANP
4,1641720100,3,I_DWI,I_RID,I_ANP
4,1941727004,4,C_DWI,C_TOM,C_YY
4,1641720046,5,C_TOM,C_DWI,C_WIS
4,1641720182,6,C_TOM,C_DWI,C_ROW
4,1641720189,7,I_GBP,I_RID,I_YP
4,1641720088,8,I_GBP,I_DWI,I_YP
