Ruang,Sesi,NIM,M,P1,P2
Ruang 1 (R.7.13),1,1641720116,M_RID,M_DWW,M_HED
Ruang 2 (R.7.15),1,1641720164,V_RAA,V_MQ,V_MMH
Ruang 3 (R.7.17),1,1641720205,I_ZUL,I_ELA,I_ANP
Ruang 4 (R.7.19),1,1641720063,I_HJT,I_ERF,I_SNA
Ruang 5 (R.7.14),1,1431140137,V_DWI,V_UDR,V_NOP
Ruang 6 (R.7.16),1,1941727018,C_PPA,C_UN,C_MZA
Ruang 7 (R.7.18),1,1641720095,I_RDA,C_IDW,I_RIZ
Ruang 8 (R.7.20),1,1641720076,J_YA,J_LA,J_ADE
Ruang 1 (R.7.13),2,1941727006,I_RID,I_DWW,I_ENH
Ruang 2 (R.7.15),2,1641720196,M_MQ,M_UN,M_ANR
Ruang 3 (R.7.17),2,1641720066,C_ELA,C_PYS,C_VIS
Ruang 4 (R.7.19),2,1641720009,I_KPA,I_ERF,I_YP
Ruang 5 (R.7.14),2,1641720202,I_UDR,I_IDW,I_VAL
Ruang 6 (R.7.16),2,1641720201,J_YA,J_LA,J_ADE
Ruang 7 (R.7.18),2,1641720072,C_ZUL,C_RDA,C_ATF
Ruang 8 (R.7.20),2,1641720103,C_IFR,C_HJT,C_IKP
Ruang 1 (R.7.13),3,1641720199,V_RID,V_ARW,V_MIS
Ruang 3 (R.7.17),3,1941727020,I_YA,I_ELA,I_DSE
Ruang 4 (R.7.19),3,1641720186,I_KPA,I_ERF,I_ANP
Ruang 5 (R.7.14),3,1941727011,C_ARP,C_DWI,C_ARS
Ruang 6 (R.7.16),3,1941727015,C_RDA,C_LA,C_MAH
Ruang 7 (R.7.18),3,1641720086,V_ZUL,V_CR,V_DOD
Ruang 8 (R.7.20),3,1641720131,C_PYS,C_TOM,C_YY
Ruang 1 (R.7.13),4,1941727008,C_ZUL,V_RID,C_APK
Ruang 5 (R.7.14),4,1641720093,C_UDR,C_LA,C_DHS
Ruang 6 (R.7.16),4,1641720062,C_RDA,C_IFR,C_RKA
Ruang 7 (R.7.18),4,1641720038,V_CR,V_RAA,V_SES
Ruang 1 (R.7.13),5,1641720098,I_RID,I_PYS,I_HED
Ruang 2 (R.7.15),5,1941727007,I_ZUL,I_IDW,I_ANP
Ruang 4 (R.7.19),5,1641720200,I_OKE,I_RDA,I_ENH
Ruang 5 (R.7.14),5,1741723006,C_LA,C_UDR,C_MMH
Ruang 1 (R.7.13),6,1641720010,V_ZUL,V_ARW,V_KSB
Ruang 2 (R.7.15),6,1741723005,J_YA,J_LA,J_ADE
Ruang 3 (R.7.17),6,1641720160,I_HJT,I_KPA,I_RIZ
Ruang 4 (R.7.19),6,1641720173,C_IDW,C_TOM,C_MMH
Ruang 5 (R.7.14),6,1641720068,V_OKE,V_UDR,V_ARS
Ruang 1 (R.7.13),7,1641720057,M_ZUL,M_HP,M_ANR
Ruang 1 (R.7.13),8,1641720121,I_ZUL,I_OKE,I_APK
